# N2 cross sections
# photoabsorption   -- Photoabsorption cross section (cm2)
# photodissociation -- Photodissociation cross section (cm2)
# photoionisation   -- Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation photoionisation
2.110000e+01 7.055600e-18 0.000000e+00 7.055600e-18
2.120000e+01 7.137600e-18 0.000000e+00 7.137600e-18
2.130000e+01 7.219600e-18 0.000000e+00 7.219600e-18
2.140000e+01 7.301600e-18 0.000000e+00 7.301600e-18
2.150000e+01 7.383600e-18 0.000000e+00 7.383600e-18
2.160000e+01 7.472000e-18 0.000000e+00 7.472000e-18
2.170000e+01 7.562000e-18 0.000000e+00 7.562000e-18
2.180000e+01 7.652000e-18 0.000000e+00 7.652000e-18
2.190000e+01 7.742000e-18 0.000000e+00 7.742000e-18
2.200000e+01 7.832000e-18 0.000000e+00 7.832000e-18
2.210000e+01 7.918800e-18 0.000000e+00 7.918800e-18
2.220000e+01 8.004800e-18 0.000000e+00 8.004800e-18
2.230000e+01 8.090800e-18 0.000000e+00 8.090800e-18
2.240000e+01 8.176800e-18 0.000000e+00 8.176800e-18
2.250000e+01 8.262800e-18 0.000000e+00 8.262800e-18
2.260000e+01 8.348800e-18 0.000000e+00 8.348800e-18
2.270000e+01 8.434800e-18 0.000000e+00 8.434800e-18
2.280000e+01 8.520800e-18 0.000000e+00 8.520800e-18
2.290000e+01 8.606800e-18 0.000000e+00 8.606800e-18
2.300000e+01 8.692800e-18 0.000000e+00 8.692800e-18
2.310000e+01 8.775600e-18 0.000000e+00 8.775600e-18
2.320000e+01 8.857600e-18 0.000000e+00 8.857600e-18
2.330000e+01 8.939600e-18 0.000000e+00 8.939600e-18
2.340000e+01 9.021600e-18 0.000000e+00 9.021600e-18
2.350000e+01 9.103600e-18 0.000000e+00 9.103600e-18
2.360000e+01 9.180800e-18 0.000000e+00 9.180800e-18
2.370000e+01 9.256800e-18 0.000000e+00 9.256800e-18
2.380000e+01 9.332800e-18 0.000000e+00 9.332800e-18
2.390000e+01 9.408800e-18 0.000000e+00 9.408800e-18
2.400000e+01 9.484800e-18 0.000000e+00 9.484800e-18
